1.069414300537458937e-03	5.875512736737191705e-04	4.725694528246883637e-03	4.175778456976412222e-03	2.889420919095932790e-03	3.294384306239273984e-04	9.651502213601720684e-04	3.575660948726934289e-03	8.297648375047650621e-04	5.521860394465257296e-03
3.565849127556210228e-03	3.833131445094231909e-03	2.493943147727578635e-03	2.152813623836092542e-03	2.290910136452712579e-03	2.309571455666574631e-03	3.460650994409947626e-03	5.324039821374094636e-03	5.193967336193356862e-03	4.864378498025828841e-03
3.200252044105488577e-04	3.609811701325323866e-03	4.885348576628875152e-03	-1.607014314704377934e-03	3.946916498582531997e-03	5.876470844244637915e-04	5.296670880626805702e-03	2.334845547877169736e-03	2.841902850053002047e-04	1.153566981963108232e-03
5.071359884402711765e-03	4.499462868801043340e-03	3.720229820015311974e-03	1.004975045115993806e-03	2.628849551057665587e-03	3.451783718607235284e-03	4.804428150318806358e-03	5.120728065799382174e-03	4.853550589571980524e-03	2.452434171055205888e-03
1.710248487739907857e-03	1.491003208424969200e-03	3.865382681468006263e-03	-4.513543404719625287e-04	2.180071439032122294e-03	1.779789118385410786e-03	2.951937247096029365e-03	5.508046087888136821e-03	4.320163119391694576e-03	3.596011434776643593e-03
5.243005279026015202e-03	1.491688306466165291e-03	1.771022303229920908e-03	1.733476363012422493e-03	1.886961283344508163e-03	4.481134542308031279e-04	3.733192229902540776e-03	4.432629208676873087e-03	3.554770887128379069e-03	4.282790986385175656e-03
2.393198172702713864e-04	3.933610672998705086e-03	2.626690263341447708e-03	2.535852920789619363e-03	4.914033316192762887e-03	4.618982624489140296e-04	1.185202815441976964e-03	5.205593547387695613e-03	2.778689570185528118e-03	2.229315501194272658e-03
4.830845772005491062e-03	1.943640607859900820e-03	2.946405047662560561e-03	3.680271049238267693e-03	4.151829521653664819e-03	5.132820312901353009e-03	1.530552387770193904e-03	4.803026000361515675e-03	5.137934313208604269e-03	1.831822333181368874e-03
4.265546409289144511e-03	2.377019366389227732e-03	3.641719159533088855e-03	3.549212991164344549e-03	8.820450007060943922e-04	2.837171103025211069e-03	3.508586923734394701e-03	5.425047479147520821e-03	3.571275813944143913e-03	5.602138261442536453e-03
2.014385731417464402e-03	7.795431412551149727e-04	4.002480581779370439e-03	3.663352821200318611e-03	3.230901405277473472e-03	3.382476415442389403e-03	5.276280684210346746e-03	4.841153509601701065e-03	1.918608882869118556e-03	6.015590072555310197e-04
